City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Avera,US,33.194,-82.5271,64.45,59,100,7.23,overcast clouds
1,Ankara,TR,39.9199,32.8543,56.59,86,75,9.22,broken clouds
2,Hailar,CN,49.2,119.7,38.35,26,3,12.15,clear sky
3,Kruisfontein,ZA,-34.0033,24.7314,73.89,50,6,9.28,clear sky
4,Albany,US,42.6001,-73.9662,46.35,84,100,2.8,overcast clouds
5,Khatanga,RU,71.9667,102.5,22.87,97,100,6.22,light snow
6,Cape Town,ZA,-33.9258,18.4232,69.39,70,75,11.5,broken clouds
7,Pisco,PE,-13.7,-76.2167,57.25,94,2,6.91,clear sky
8,Ushuaia,AR,-54.8,-68.3,42.46,70,0,9.22,clear sky
9,Malegaon,IN,20.55,74.5333,82.6,65,91,6.96,overcast clouds
10,Nikolskoye,RU,59.7035,30.7861,49.91,76,100,15.21,overcast clouds
11,Voyvozh,RU,62.892,54.9635,42.66,91,100,8.08,overcast clouds
12,Kaeo,NZ,-35.1,173.7833,60.33,95,100,5.93,light rain
13,Amapa,BR,1.0,-52.0,70.59,100,95,1.54,overcast clouds
14,Mahibadhoo,MV,3.7833,72.9667,81.54,74,89,18.54,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,68.94,64,100,16.13,overcast clouds
16,Bandarbeyla,SO,9.4942,50.8122,82.2,66,27,6.96,light rain
17,Mar Del Plata,AR,-38.0023,-57.5575,55.87,89,75,11.99,fog
18,Tairua,NZ,-37.0167,175.85,57.31,89,100,6.82,light rain
19,Skelleftea,SE,64.7507,20.9528,43.0,90,0,10.36,clear sky
20,Guerrero Negro,MX,27.9769,-114.0611,68.05,82,0,12.19,clear sky
21,Busselton,AU,-33.65,115.3333,65.68,53,5,13.98,clear sky
22,Vista Hermosa,MX,19.5167,-99.2167,64.54,78,75,8.05,broken clouds
23,Filingue,NE,14.3521,3.3168,88.95,22,3,6.4,clear sky
24,Hofn,IS,64.2539,-15.2082,40.91,72,13,9.8,few clouds
25,Punta Arenas,CL,-53.15,-70.9167,50.11,62,0,20.71,clear sky
26,Mataura,NZ,-46.1927,168.8643,44.55,95,100,0.87,overcast clouds
27,Ayan,RU,56.45,138.1667,33.49,51,35,16.64,scattered clouds
28,Faanui,PF,-16.4833,-151.75,78.82,72,13,12.82,few clouds
29,Ponta Do Sol,PT,32.6667,-17.1,72.01,78,54,6.71,broken clouds
30,Tambopata,PE,-12.7333,-69.1833,69.55,97,62,0.96,broken clouds
31,Cayenne,GF,4.9333,-52.3333,73.44,94,0,0.0,clear sky
32,New Norfolk,AU,-42.7826,147.0587,51.93,64,20,1.99,few clouds
33,Bredasdorp,ZA,-34.5322,20.0403,73.38,53,1,8.66,clear sky
34,Ribeira Grande,PT,38.5167,-28.7,63.77,88,75,26.46,shower rain
35,Qaanaaq,GL,77.484,-69.3632,7.56,83,100,3.89,overcast clouds
36,Dikson,RU,73.5069,80.5464,29.88,97,100,10.16,overcast clouds
37,Biasca,CH,46.3597,8.9697,64.44,80,22,2.21,few clouds
